trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,0.048413893,0.0005985,96.6851519,96.6851519,96.9849015,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,0.048358186,0.0005917,99.0829816,99.0829816,99.3825612,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,0.048302544,0.0005954,101.5304288,101.5304288,101.8301256,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,0.048246966,0.0005971,103.844995,103.844995,104.1445681,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,0.048191451,0.0005864,106.2591955,106.2591955,106.558825,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,0.048136001,0.0005837,108.7734538,108.7734538,109.0729201,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,0.048080614,0.000597,111.0878427,111.0878427,111.3874924,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,0.048025291,0.0006083,113.518811,113.518811,113.8183089,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,0.047970032,0.0005872,115.9995782,115.9995782,116.2992974,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,0.047914836,0.0006785,118.4471872,118.4471872,118.7468054,1,1,433717,1,2022-09-09_01h29.50.658,grating_titration,2022.2.4,60.03925367
